source,benchmark,median_ms,min_ms,max_ms,n_runs,bytes,category,variant,size_label,size_bytes,color_key
age,BenchmarkECDH_Software,0.098543,0.098543,0.098543,119365,0,ECDH,Software,–,0,age_soft
age,BenchmarkECDH_Hardware,77.122725,77.122725,77.122725,154,0,ECDH,Hardware,–,0,age_hw
age,BenchmarkEncrypt_Hardware/100B,0.176609,0.176609,0.176609,69474,100,Encrypt,Hardware,100B,100,age_hw
age,BenchmarkEncrypt_Hardware/1KB,0.190476,0.190476,0.190476,63584,1024,Encrypt,Hardware,1KB,1024,age_hw
age,BenchmarkEncrypt_Hardware/64KB,0.387728,0.387728,0.387728,30166,65536,Encrypt,Hardware,64KB,65536,age_hw
age,BenchmarkEncrypt_Hardware/1MB,2.91955,2.91955,2.91955,4838,1048576,Encrypt,Hardware,1MB,1048576,age_hw
age,BenchmarkEncrypt_Hardware/10MB,16.814949,16.814949,16.814949,748,10485760,Encrypt,Hardware,10MB,10485760,age_hw
age,BenchmarkEncrypt_Hardware/100MB,115.607094,115.607094,115.607094,100,104857600,Encrypt,Hardware,100MB,104857600,age_hw
age,BenchmarkDecrypt_Hardware/100B,133.669598,133.669598,133.669598,88,100,Decrypt,Hardware,100B,100,age_hw
age,BenchmarkDecrypt_Hardware/1KB,133.633101,133.633101,133.633101,88,1024,Decrypt,Hardware,1KB,1024,age_hw
age,BenchmarkDecrypt_Hardware/64KB,133.803558,133.803558,133.803558,88,65536,Decrypt,Hardware,64KB,65536,age_hw
age,BenchmarkDecrypt_Hardware/1MB,135.594568,135.594568,135.594568,87,1048576,Decrypt,Hardware,1MB,1048576,age_hw
age,BenchmarkDecrypt_Hardware/10MB,151.078032,151.078032,151.078032,76,10485760,Decrypt,Hardware,10MB,10485760,age_hw
age,BenchmarkDecrypt_Hardware/100MB,258.352589,258.352589,258.352589,45,104857600,Decrypt,Hardware,100MB,104857600,age_hw
