benchmark,median_ms,min_ms,max_ms,n_runs,bytes,encrypted_bytes,overhead_bytes,header_bytes,payload_bytes
BenchmarkECDH_Software,2.7422,2.9459,2.0174,20,0,0,0,0,0
BenchmarkECDH_Hardware,77.0326,76.9799,77.0335,20,0,0,0,0,0
BenchmarkEncrypt_Hardware/100B,8.3943,8.1802,9.7723,20,100,291,191,0,0
BenchmarkEncrypt_Hardware/1KB,8.3170,8.1291,8.6260,20,1024,470,0,0,0
BenchmarkEncrypt_Hardware/64KB,9.0721,8.9251,10.9140,20,65536,794,0,0,0
BenchmarkEncrypt_Hardware/1MB,19.7442,19.3787,21.5837,20,1048576,4608,0,0,0
BenchmarkEncrypt_Hardware/10MB,88.5681,60.4284,99.6189,20,10485760,41230,0,0,0
BenchmarkEncrypt_Hardware/100MB,586.0858,564.0429,612.1128,20,104857600,407491,0,0,0
BenchmarkDecrypt_HW/100B,82.9323,81.8619,84.2250,20,100,0,0,0,0
BenchmarkDecrypt_HW/1KB,83.1232,82.0174,84.4904,20,1024,0,0,0,0
BenchmarkDecrypt_HW/64KB,82.6178,82.2556,83.8687,20,65536,0,0,0,0
BenchmarkDecrypt_HW/1MB,83.7776,82.9597,85.2806,20,1048576,0,0,0,0
BenchmarkDecrypt_HW/10MB,94.2552,88.1232,95.4163,20,10485760,0,0,0,0
BenchmarkDecrypt_HW/100MB,170.2463,138.0483,175.2074,20,104857600,0,0,0,0
# FileSize columns: benchmark,plaintext_B,pgp_B,overhead_B
BenchmarkFileSize/100B,100,294,194
BenchmarkFileSize/1KB,1024,473,0
BenchmarkFileSize/64KB,65536,798,0
BenchmarkFileSize/1MB,1048576,4610,0
BenchmarkFileSize/10MB,10485760,41234,0
BenchmarkFileSize/100MB,104857600,407495,0
