source,benchmark,median_ms,min_ms,max_ms,n_runs,bytes,category,variant,size_label,size_bytes,color_key
age,BenchmarkECDH_Software,0.033736,0.033736,0.033736,356763,0,ECDH,Software,–,0,age_soft
age,BenchmarkECDH_Hardware,78.407263,78.407263,78.407263,152,0,ECDH,Hardware,–,0,age_hw
age,BenchmarkEncrypt_Hardware/100B,0.038697,0.038697,0.038697,308029,100,Encrypt,Hardware,100B,100,age_hw
age,BenchmarkEncrypt_Hardware/1KB,0.039406,0.039406,0.039406,303489,1024,Encrypt,Hardware,1KB,1024,age_hw
age,BenchmarkEncrypt_Hardware/64KB,0.069832,0.069832,0.069832,166675,65536,Encrypt,Hardware,64KB,65536,age_hw
age,BenchmarkEncrypt_Hardware/1MB,0.521865,0.521865,0.521865,25056,1048576,Encrypt,Hardware,1MB,1048576,age_hw
age,BenchmarkEncrypt_Hardware/10MB,6.296836,6.296836,6.296836,1869,10485760,Encrypt,Hardware,10MB,10485760,age_hw
age,BenchmarkEncrypt_Hardware/100MB,63.323358,63.323358,63.323358,188,104857600,Encrypt,Hardware,100MB,104857600,age_hw
age,BenchmarkDecrypt_Hardware/100B,0.013816,0.013816,0.013816,883281,100,Decrypt,Hardware,100B,100,age_hw
age,BenchmarkDecrypt_Hardware/1KB,0.013971,0.013971,0.013971,862858,1024,Decrypt,Hardware,1KB,1024,age_hw
age,BenchmarkDecrypt_Hardware/64KB,0.050022,0.050022,0.050022,236608,65536,Decrypt,Hardware,64KB,65536,age_hw
age,BenchmarkDecrypt_Hardware/1MB,0.408488,0.408488,0.408488,29388,1048576,Decrypt,Hardware,1MB,1048576,age_hw
age,BenchmarkDecrypt_Hardware/10MB,3.716526,3.716526,3.716526,3195,10485760,Decrypt,Hardware,10MB,10485760,age_hw
age,BenchmarkDecrypt_Hardware/100MB,43.479608,43.479608,43.479608,276,104857600,Decrypt,Hardware,100MB,104857600,age_hw
