benchmark,median_ms,min_ms,max_ms,n_runs,bytes,encrypted_bytes,overhead_bytes,header_bytes,payload_bytes
BenchmarkECDH_Software,0.5620,0.5637,0.5630,20,0,0,0,0,0
BenchmarkECDH_Hardware,78.0018,77.9831,78.0592,20,0,0,0,0,0
BenchmarkEncrypt_Hardware/100B,1.8030,1.7319,2.1115,20,100,291,191,0,0
BenchmarkEncrypt_Hardware/1KB,1.8191,1.7372,1.8820,20,1024,470,0,0,0
BenchmarkEncrypt_Hardware/64KB,1.9641,1.9051,2.0346,20,65536,795,0,0,0
BenchmarkEncrypt_Hardware/1MB,4.0597,3.9708,4.3134,20,1048576,4608,0,0,0
BenchmarkEncrypt_Hardware/10MB,24.5602,24.3312,25.3250,20,10485760,41229,0,0,0
BenchmarkEncrypt_Hardware/100MB,228.0876,226.3410,238.8597,20,104857600,407490,0,0,0
BenchmarkDecrypt_HW/100B,1.0677,1.2450,1.0394,20,100,0,0,0,0
BenchmarkDecrypt_HW/1KB,1.0718,1.3537,1.0921,20,1024,0,0,0,0
BenchmarkDecrypt_HW/64KB,1.1264,1.4341,1.1288,20,65536,0,0,0,0
BenchmarkDecrypt_HW/1MB,1.3612,1.7940,1.3880,20,1048576,0,0,0,0
BenchmarkDecrypt_HW/10MB,3.6635,4.1346,3.7495,20,10485760,0,0,0,0
BenchmarkDecrypt_HW/100MB,32.7058,32.7759,32.1870,20,104857600,0,0,0,0
# FileSize columns: benchmark,plaintext_B,pgp_B,overhead_B
BenchmarkFileSize/100B,100,294,194
BenchmarkFileSize/1KB,1024,473,0
BenchmarkFileSize/64KB,65536,798,0
BenchmarkFileSize/1MB,1048576,4612,0
BenchmarkFileSize/10MB,10485760,41234,0
BenchmarkFileSize/100MB,104857600,407495,0
