source,benchmark,median_ms,min_ms,max_ms,n_runs,bytes,category,variant,size_label,size_bytes,color_key
age,BenchmarkECDH_Software,0.097807,0.097807,0.097807,118411,0,ECDH,Software,–,0,age_soft
age,BenchmarkECDH_Hardware,77.100269,77.100269,77.100269,154,0,ECDH,Hardware,–,0,age_hw
age,BenchmarkEncrypt_Hardware/100B,0.184036,0.184036,0.184036,61374,100,Encrypt,Hardware,100B,100,age_hw
age,BenchmarkEncrypt_Hardware/1KB,0.187327,0.187327,0.187327,58887,1024,Encrypt,Hardware,1KB,1024,age_hw
age,BenchmarkEncrypt_Hardware/64KB,0.388424,0.388424,0.388424,30134,65536,Encrypt,Hardware,64KB,65536,age_hw
age,BenchmarkEncrypt_Hardware/1MB,2.681385,2.681385,2.681385,3849,1048576,Encrypt,Hardware,1MB,1048576,age_hw
age,BenchmarkEncrypt_Hardware/10MB,16.545041,16.545041,16.545041,718,10485760,Encrypt,Hardware,10MB,10485760,age_hw
age,BenchmarkEncrypt_Hardware/100MB,115.703007,115.703007,115.703007,103,104857600,Encrypt,Hardware,100MB,104857600,age_hw
age,BenchmarkDecrypt_Hardware/100B,133.607901,133.607901,133.607901,88,100,Decrypt,Hardware,100B,100,age_hw
age,BenchmarkDecrypt_Hardware/1KB,133.548666,133.548666,133.548666,88,1024,Decrypt,Hardware,1KB,1024,age_hw
age,BenchmarkDecrypt_Hardware/64KB,133.763144,133.763144,133.763144,88,65536,Decrypt,Hardware,64KB,65536,age_hw
age,BenchmarkDecrypt_Hardware/1MB,135.572901,135.572901,135.572901,87,1048576,Decrypt,Hardware,1MB,1048576,age_hw
age,BenchmarkDecrypt_Hardware/10MB,151.261037,151.261037,151.261037,76,10485760,Decrypt,Hardware,10MB,10485760,age_hw
age,BenchmarkDecrypt_Hardware/100MB,262.213344,262.213344,262.213344,45,104857600,Decrypt,Hardware,100MB,104857600,age_hw
