benchmark,median_ms,min_ms,max_ms,n_runs,bytes,encrypted_bytes,overhead_bytes,header_bytes,payload_bytes
BenchmarkECDH_Software,2.7345,3.0025,2.1505,20,0,0,0,0,0
BenchmarkECDH_Hardware,77.0438,76.9360,77.0542,20,0,0,0,0,0
BenchmarkEncrypt_Hardware/100B,8.4485,8.1427,10.2463,20,100,291,191,0,0
BenchmarkEncrypt_Hardware/1KB,8.3546,8.1161,8.5917,20,1024,470,0,0,0
BenchmarkEncrypt_Hardware/64KB,9.0471,8.8419,9.4470,20,65536,795,0,0,0
BenchmarkEncrypt_Hardware/1MB,19.6907,14.8089,23.1457,20,1048576,4608,0,0,0
BenchmarkEncrypt_Hardware/10MB,83.7340,60.6766,90.6809,20,10485760,41230,0,0,0
BenchmarkEncrypt_Hardware/100MB,581.9835,557.9921,617.2495,20,104857600,407490,0,0,0
BenchmarkDecrypt_HW/100B,82.0974,81.7283,83.3362,20,100,0,0,0,0
BenchmarkDecrypt_HW/1KB,82.2367,81.8796,83.5281,20,1024,0,0,0,0
BenchmarkDecrypt_HW/64KB,82.6002,82.0807,83.6533,20,65536,0,0,0,0
BenchmarkDecrypt_HW/1MB,83.6738,83.1567,84.7900,20,1048576,0,0,0,0
BenchmarkDecrypt_HW/10MB,93.5295,92.2938,95.2493,20,10485760,0,0,0,0
BenchmarkDecrypt_HW/100MB,167.8835,166.4792,172.7899,20,104857600,0,0,0,0
# FileSize columns: benchmark,plaintext_B,pgp_B,overhead_B
BenchmarkFileSize/100B,100,294,194
BenchmarkFileSize/1KB,1024,473,0
BenchmarkFileSize/64KB,65536,800,0
BenchmarkFileSize/1MB,1048576,4610,0
BenchmarkFileSize/10MB,10485760,41232,0
BenchmarkFileSize/100MB,104857600,407495,0
